Code,Code2,RegisteredParents,City,KidsCount,Status,Activity,ActivityCategory,Year,School,IsKinderGarden,Class,SensitivityOrLimitation,RegistrationFee,KidNumberToRegister,Price,Monthly,OneTime
89002,-1,2,517,1,0,2,2,2,32,1,8,0,0,0,200,0,0
89002,-1,2,517,1,0,3,2,2,32,1,8,0,0,0,300,0,0
89002,-1,2,517,1,0,4,2,2,32,1,8,0,0,0,400,0,0
89002,-1,2,517,1,0,10,2,2,32,1,8,0,0,0,1550,0,0
89002,-1,2,517,1,0,11,2,2,32,1,8,0,0,0,1550,0,0
89002,-1,2,517,1,0,12,2,2,32,1,8,0,0,0,3022,0,0
89002,-1,2,517,1,0,39,2,2,32,1,8,0,0,0,500,0,0
89004,-1,2,517,1,0,2,2,2,11,1,8,0,0,0,200,0,0
89004,-1,2,517,1,0,3,2,2,11,1,8,0,0,0,300,0,0
89004,-1,2,517,1,0,4,2,1,9,1,2,0,0,0,480,0,0
89004,-1,2,517,1,0,4,2,2,11,1,8,0,0,0,400,0,0
89004,-1,2,517,1,0,5,2,1,9,1,2,0,0,0,1335,0,0
89004,-1,2,517,1,0,7,2,1,9,1,2,0,0,0,450,0,0
89004,-1,2,517,1,0,10,2,2,11,1,8,0,0,0,1621,0,0
89004,-1,2,517,1,0,13,2,1,9,1,2,0,0,0,1750,0,0
89004,-1,2,517,1,0,39,2,2,11,1,8,0,0,0,500,0,0
89009,-1,2,517,1,0,2,2,2,32,1,8,0,0,0,200,0,0
89009,-1,2,517,1,0,3,2,2,32,1,8,0,0,0,300,0,0
89009,-1,2,517,1,0,4,2,2,32,1,8,0,0,0,400,0,0
89009,-1,2,517,1,0,10,2,2,32,1,8,0,0,0,1550,0,0
89009,-1,2,517,1,0,11,2,2,32,1,8,0,0,0,1550,0,0
89009,-1,2,517,1,0,12,2,2,32,1,8,0,0,0,3022,0,0
89009,-1,2,517,1,0,39,2,2,32,1,8,0,0,0,500,0,0
89031,-1,2,517,3,0,4,2,1,32,1,12,0,0,0,500,0,0
89031,-1,2,517,3,0,10,2,1,32,1,12,0,0,0,1650,0,0
89031,-1,2,517,3,0,11,2,1,32,1,12,0,0,0,1340,0,0
89031,-1,2,517,3,0,12,2,1,32,1,12,0,0,0,2890,0,0
89038,-1,2,517,1,0,4,2,1,32,1,8,0,0,0,500,0,0
89038,-1,2,517,1,0,10,2,1,32,1,8,0,0,0,1650,0,0
89038,-1,2,517,1,0,11,2,1,32,1,8,0,0,0,1340,0,0
89038,-1,2,517,1,0,12,2,1,32,1,8,0,0,0,2890,0,0
89050,-1,2,517,1,0,2,2,2,32,1,8,0,0,0,200,0,0
89050,-1,2,517,1,0,3,2,2,32,1,8,0,0,0,300,0,0
89050,-1,2,517,1,0,4,2,2,32,1,8,0,0,0,400,0,0
89050,-1,2,517,1,0,10,2,2,32,1,8,0,0,0,1550,0,0
89050,-1,2,517,1,0,11,2,2,32,1,8,0,0,0,1550,0,0
89050,-1,2,517,1,0,12,2,2,32,1,8,0,0,0,3022,0,0
89050,-1,2,517,1,0,39,2,2,32,1,8,0,0,0,500,0,0
89055,-1,2,517,1,0,2,2,2,32,1,10,0,0,0,200,0,0
89055,-1,2,517,1,0,3,2,2,32,1,10,0,0,0,300,0,0
89055,-1,2,517,1,0,4,2,1,32,1,8,0,0,0,500,0,0
89055,-1,2,517,1,0,4,2,2,32,1,10,0,0,0,400,0,0
89055,-1,2,517,1,0,10,2,1,32,1,8,0,0,0,1650,0,0
89055,-1,2,517,1,0,10,2,2,32,1,10,0,0,0,1550,0,0
89055,-1,2,517,1,0,11,2,1,32,1,8,0,0,0,1340,0,0
89055,-1,2,517,1,0,11,2,2,32,1,10,0,0,0,1550,0,0
89055,-1,2,517,1,0,12,2,1,32,1,8,0,0,0,2890,0,0
89055,-1,2,517,1,0,12,2,2,32,1,10,0,0,0,3022,0,0
89055,-1,2,517,1,0,39,2,2,32,1,10,0,0,0,500,0,0
89057,-1,2,113,1,0,2,2,2,58,1,10,0,0,0,200,0,0
89057,-1,2,113,1,0,3,2,2,58,1,10,0,0,0,300,0,0
89057,-1,2,113,1,0,4,2,2,58,1,10,0,0,0,400,0,0
89057,-1,2,113,1,0,39,2,2,58,1,10,0,0,0,500,0,0
89061,-1,2,363,1,0,4,2,1,12,1,10,0,0,0,600,0,0
89061,-1,2,363,1,0,10,2,1,12,1,10,0,0,0,1647,0,0
89061,-1,2,363,1,0,11,2,1,12,1,10,0,0,0,1100,0,0
89073,-1,2,517,1,0,4,2,1,32,1,12,0,0,0,500,0,0
